ORTHO,PHON
absorbante,apsoRb@t
absorbants,apsoRb@
absorbe,apsoRb*
absorbé,apsoRbe
absorbé,apsoRbe
absorbée,apsoRbe
absorbée,apsoRbe
absorber,apsoRbe
absorbés,apsoRbe
absorbés,apsoRbe
abstenir,apst*niR
abstention,apst@sj%
abstentions,apst@sj%
abstenu,apst*ny
abstient,apstj5
abstint,apst5
abstrait,apstRE
absurde,apsyRd*
absurdes,apsyRd*
absurdité,apsyRdite
absurdités,apsyRdite
abuse,abyz
abuser,abyze
abuserait,abyzRE
abuseras,abyzRa
abusez,abyze
abusif,abyzif
acacia,akasja
acacias,akasja
académiciens,akademisj5
académie,akademi
académies,akademi
académique,akademik
académiques,akademik
acajou,akaZu
acariens,akaRj5
accabla,akAbla
accablait,akAblE
accablante,akAbl@t
accable,akAbl*
accablé,akAble
accablé,akAble
accablée,akAble
accablée,akAble
accablement,akAbl*m@
accalmie,akalmi
accalmies,akalmi
accaparé,akapaRe
accastillage,akastijaZ
accéder,aksede
accéléra,akseleRa
accélérait,akseleRE
accélérant,akseleR@
accélérateur,akseleRat9R
accélération,akseleRasj%
accélère,akselER
accéléré,akseleRe
accélérée,akseleRe
accélèrent,akselER
accélérer,akseleRe
accélérerait,akseleR*RE
accélérèrent,akseleRER
accélérons,akseleR%
accent,aks@
accents,aks@
accentuant,aks@t8@
accentue,aks@ty
accentuer,aks@t8e
accentués,aks@t8e
accentués,aks@t8e
accepta,aksEpta
acceptaient,aksEptE
acceptait,aksEptE
acceptant,aksEpt@
acceptation,aksEptasj%
accepte,aksEpt*
accepté,aksEpte
acceptée,aksEpte
acceptées,aksEpte
acceptent,aksEpt*
accepter,aksEpte
acceptera,aksEptRa
accepterai,aksEptRE
accepteraient,aksEptRE
accepterais,aksEptRE
accepterait,aksEptRE
acceptèrent,aksEptER
accepteriez,aksEpt*Rje
accepteront,aksEptR%
acceptes,aksEpt*
acceptés,aksEpte
acceptez,aksEpte
acception,aksEpsj%
accès,aksE
accessible,aksEsibl*
accessoire,akseswaR
accessoire,akseswaR
accessoires,akseswaR
accessoires,akseswaR
accident,aksid@
accidenté,aksid@te
accidenté,aksid@te
accidentée,aksid@te
accidentée,aksid@te
accidentées,aksid@te
accidentés,aksid@te
accidentés,aksid@te
accidents,aksid@
acclama,aklama
acclamation,aklamasj%
acclamations,aklamasj%
acclame,aklam
acclamé,aklame
acclament,aklam
acclamer,aklame
acclamèrent,aklamER
acclimatait,aklimatE
acclimater,aklimate
accolade,akolad
accolées,akole
accolés,akole
accommoder,akomode
accommoderait,akomodRE
accommodés,akomode
accommodez,akomode
accompagna,ak%paNa
accompagnai,ak%paNE
accompagnaient,ak%paNE
accompagnais,ak%paNE
accompagnait,ak%paNE
accompagnant,ak%paN@
accompagnateur,ak%paNat9R
accompagne,ak%paN
accompagné,ak%paNe
accompagné,ak%paNe
accompagnée,ak%paNe
accompagnées,ak%paNe
accompagnement,ak%paNm@
accompagnent,ak%paN
accompagner,ak%paNe
accompagnera,ak%paNRa
accompagnerait,ak%paNRE
accompagnèrent,ak%paNER
accompagnerez,ak%paNRe
accompagnerons,ak%paNR%
accompagneront,ak%paNR%
accompagnes,ak%paN
accompagnés,ak%paNe
accompagnés,ak%paNe
accompagnez,ak%paNe
accompagnons,ak%paN%
accompli,ak%pli
accompli,ak%pli
accomplie,ak%pli
accomplie,ak%pli
accomplies,ak%pli
accomplir,ak%pliR
accomplira,ak%pliRa
accomplis,ak%pli
accomplis,ak%pli
accomplissait,ak%plisE
accomplissant,ak%plis@
accomplissement,ak%plism@
accomplissent,ak%plis
accomplit,ak%pli
accord,akoR
accorda,akoRda
accordait,akoRdE
accordant,akoRd@
accorde,akoRd*
accordé,akoRde
accordées,akoRde
accordent,akoRd*
accordéon,akoRde%
accordéoniste,akoRdeonist*
accorder,akoRde
accordera,akoRd*Ra
accorderai,akoRd*RE
accorderas,akoRd*Ra
accordèrent,akoRdER
accordes,akoRd*
accordeur,akoRd9R
accordez,akoRde
accordons,akoRd%
accords,akoR
accosta,akosta
accostaient,akostE
accostant,akost@
accosté,akoste
accostent,akost*
accoster,akoste
accota,akota
accotement,akotm@
accotèrent,akotER
accoucha,akuSa
accouchement,akuSm@
accouda,akuda
accoudé,akude
accoudoir,akudwaR
accoudoirs,akudwaR
accouple,akupl*
accoupler,akuple
accouraient,akuRE
accourait,akuRE
accourent,akuR
accourez,akuRe
accourions,akuRj%
accourir,akuRiR
accourraient,akuRE
accours,akuR
accourt,akuR
accourue,akuRy
accourûmes,akuRym
accoururent,akuRyR
accourus,akuRy
accourut,akuRy
accoutré,akutRe
accoutrer,akutRe
accoutumé,akutyme
accoutumée,akutyme
accoutumée,akutyme
accroc,akRO
accrocha,akRoSa
accrochage,akRoSaZ
accrochai,akRoSE
accrochaient,akRoSE
accrochait,akRoSE
accrochant,akRoS@
accroche,akRoS
accroche,akRoS
accroché,akRoSe
accroché,akRoSe
accrochée,akRoSe
accrochées,akRoSe
accrochées,akRoSe
accrochent,akRoS
accrocher,akRoSe
accrochera,akRoSRa
accrocherai,akRoSRE
accrocherais,akRoSRE
accrocherait,akRoSRE
accrochèrent,akRoSER
accrocherez,akRoSRe
accroches,akRoS
accrochés,akRoSe
accrochés,akRoSe
accrochez,akRoSe
accroît,akRwa
accroître,akRwatR*
accroupi,akRupi
accroupi,akRupi
accroupie,akRupi
accroupir,akRupiR
accroupis,akRupi
accroupis,akRupi
accroupit,akRupi
accrut,akRy
accueil,ak9j
accueillait,ak9jE
accueillant,ak9j@
accueillant,ak9j@
accueillante,ak9j@t
accueillantes,ak9j@t
accueille,ak9j
accueillent,ak9j
accueillera,ak9jRa
accueillerai,ak9jRE
accueillerait,ak9jRE
accueilleront,ak9jR%
accueilles,ak9j
accueilli,ak9ji
accueillie,ak9ji
accueillir,ak9jiR
accueillirent,ak9jiR
accueillis,ak9ji
accueillit,ak9ji
accueillons,ak9j%
acculé,akyle
acculer,akyle
accumula,akymyla
accumulaient,akymylE
accumulait,akymylE
accumulateur,akymylat9R
accumulation,akymylasj%
accumule,akymyl
accumulé,akymyle
accumulent,akymyl
accumulés,akymyle
accus,aky
accusa,akyza
accusait,akyzE
accusation,akyzasj%
accusations,akyzasj%
accuse,akyz
accusé,akyze
accusé,akyze
accusé,akyze
accusent,akyz
accuser,akyze
accuses,akyz
accusés,akyze
acerbe,asERb*
acéré,aseRe
acéré,aseRe
acérée,aseRe
acérées,aseRe
acérés,aseRe
achab,akab
achalandée,aSal@de
acharne,aSaRn*
acharné,aSaRne
acharné,aSaRne
acharnée,aSaRne
acharnées,aSaRne
acharnement,aSaRn*m@
acharnent,aSaRn*
acharnés,aSaRne
achat,aSa
achats,aSa
ache,aS
acheminé,aSmine
acheminée,aSmine
acheminement,aSminm@
acheminer,aSmine
acheminèrent,aSminER
acheta,aSta
achetai,aStE
achetaient,aStE
achetait,aStE
achetâmes,aStam
achète,aSEt
acheté,aSte
achetée,aSte
achetées,aSte
achètent,aSEt
acheter,aSte
achètera,aSEtRa
achèterai,aSEtRE
achèteraient,aSEtRE
achèterait,aSEtRE
achèteras,aSEtRa
achetèrent,aStER
achèterez,aSEtRe
achèterons,aSEtR%
achètes,aSEt
achetés,aSte
acheteur,aSt9R
acheteurs,aSt9R
achetez,aSte
achetiez,aS*tje
achetions,aS*tj%
achetons,aSt%
acheva,aSva
achevaient,aSvE
achevait,aSvE
achevant,aSv@
achevât,aSva
achève,aSEv
achevé,aSve
achevé,aSve
achevée,aSve
achevée,aSve
achevées,aSve
achevées,aSve
achèvent,aSEv
achever,aSve
achèvera,aSEvRa
achevèrent,aSvER
achevés,aSve
achevez,aSve
achille,aSil
achoppe,aSop
achopper,aSope
acide,asid
acide,asid
acides,asid
acides,asid
acidité,asidite
acidulé,asidyle
acidulés,asidyle
acier,asje
aciérie,asjeRi
acolyte,akolit
acompte,ak%t
aconit,akonit
acoustique,akustik
acoustiques,akustik
acquéreur,akeR9R
acquérir,akeRiR
acquiesça,akjEsa
acquiesçai,akjEsE
acquiesce,akjEs
acquiescé,akjEse
acquiescer,akjese
acquis,aki
acquis,aki
acquise,akiz
acquises,akiz
acquisition,akizisj%
acquisitions,akizisj%
acquittai,akitE
acquitte,akit
acquitté,akite
acquitter,akite
âcre,AkR*
âcreté,AkR*te
acrobate,akRobat
acrobates,akRobat
acrobatie,akRobasi
acrobaties,akRobasi
acrobatique,akRobatik
acrobatiques,akRobatik
acrylique,akRilik
acte,akt*
actes,akt*
acteur,akt9R
acteurs,akt9R
actif,aktif
actif,aktif
actifs,aktif
actifs,aktif
action,aksj%
actionnant,aksjon@
actionne,aksjon
actionner,aksjone
actions,aksj%
activait,aktivE
active,aktiv
active,aktiv
activement,aktivm@
activer,aktive
actives,aktiv
activité,aktivite
activités,aktivite
actrice,aktRis
actrices,aktRis
actualité,akt8alite
actualités,akt8alite
actuel,akt8El
actuelle,akt8El
actuellement,akt8Elm@
actuelles,akt8El
actuels,akt8El
acupuncteur,akyp%kt9R
acupuncteurs,akyp%kt9R
acupuncture,akyp%ktyR
adam,ad@
adapta,adapta
adaptables,adaptabl*
adaptait,adaptE
adaptation,adaptasj%
adaptations,adaptasj%
adapte,adapt*
adapté,adapte
adaptée,adapte
adaptées,adapte
adapter,adapte
adaptés,adapte
addition,adisj%
additionne,adisjon
additionné,adisjone
additionner,adisjone
additionnez,adisjone
additions,adisj%
adélaïde,adelaid
adèle,adEl
adeline,adlin
adéquat,adekwa
adéquate,adekwat
adéquats,adekwa
ader,adER
adhérent,adeR@
adhérents,adeR@
adhérer,adeRe
adhésif,adezif
adhésif,adezif
adhésion,adezj%
adhésions,adezj%
adhésive,adeziv
adieu,adj2
adieux,adj2
adjectif,adZEktif
adjectif,adZEktif
adjectifs,adZEktif
adjectifs,adZEktif
adjoindre,adZw5dR*
adjoint,adZw5
adjoint,adZw5
adjointe,adZw5t
adjoints,adZw5
adjonction,adZ%ksj%
adjudication,adZydikasj%
admet,admE
admettaient,admEtE
admettait,admEtE
admettant,admEt@
admettent,admEt
admettons,admEt%
admettre,admEtR*
administra,administRa
administrateurs,administRat9R
administratif,administRatif
administratifs,administRatif
administration,administRasj%
administrative,administRativ
administrativement,administRativm@
administratives,administRativ
administre,administR*
administrer,administRe
administrés,administRe
admira,admiRa
admirable,admiRabl*
admirablement,admiRabl*m@
admirables,admiRabl*
admiraient,admiRE
admirais,admiRE
admirait,admiRE
admirant,admiR@
admirateur,admiRat9R
admirateurs,admiRat9R
admiratif,admiRatif
admiration,admiRasj%
admirative,admiRativ
admiratives,admiRativ
admiratrice,admiRatRis
admire,admiR
admiré,admiRe
admirées,admiRe
admirent,admiR
admirer,admiRe
admirera,admiRRa
admirèrent,admiRER
admireront,admiRR%
admires,admiR
admirés,admiRe
admirez,admiRe
admirons,admiR%
admis,admi
admise,admiz
admit,admi
adolescence,adoles@s
adolescent,adoles@
adolescente,adoles@t
adolescents,adoles@
adolescents,adoles@
adolphe,adolf
adonner,adone
adopta,adopta
adoptant,adopt@
adopte,adopt*
adopté,adopte
adopté,adopte
adoptée,adopte
adopter,adopte
adoptèrent,adoptER
adoptes,adopt*
adoptés,adopte
adoptif,adoptif
adoption,adopsj%
adoptive,adoptiv
adoptons,adopt%
adora,adoRa
adorable,adoRabl*
adorables,adoRabl*
adoraient,adoRE
adorais,adoRE
adorait,adoRE
adorant,adoR@
adoration,adoRasj%
adore,adoR
adoré,adoRe
adorée,adoRe
adorent,adoR
adorer,adoRe
adorerait,adoRRE
adoreront,adoRR%
adores,adoR
adossant,ados@
adossé,adose
adossée,adose
adosser,adose
adossèrent,adosER
adossés,adose
adoubement,adubm@
adouci,adusi
adouci,adusi
adoucie,adusi
adoucir,adusiR
adoucira,adusiRa
adouciront,adusiR%
adoucissant,adusis@
adoucit,adusi
adressa,adREsa
adressai,adREsE
adressaient,adREsE
adressais,adREsE
adressait,adREsE
adressant,adREs@
adresse,adREs
adresse,adREs
adressé,adRese
adressée,adRese
adressent,adREs
adresser,adRese
adressera,adREsRa
adresses,adREs
adressés,adRese
adressez,adRese
adressiez,adREsje
adrien,adRj5
adroit,adRwa
adroite,adRwat
adroitement,adRwatm@
adroites,adRwat
adroits,adRwa
adulte,adylt*
adulte,adylt*
adultes,adylt*
adultes,adylt*
adverbe,advERb*
adverbes,advERb*
adversaire,advERsER
adversaires,advERsER
adverse,advERs*
adverses,advERs*
adversité,advERsite
advint,adv5
aède,aEd
aèdes,aEd
aérait,aeRE
aérateur,aeRat9R
aération,aeRasj%
aère,aER
aéré,aeRe
aéré,aeRe
aèrent,aER
aérer,aeRe
aérés,aeRe
aérez,aeRe
aérien,aeRj5
aérienne,aeRjEn
aériennes,aeRjEn
aériens,aeRj5
aérodrome,aeRodROm
aérodynamique,aeRodinamik
aéroglisseur,aeRoglis9R
aéronaute,aeRonOt
aéronautique,aeRonOtik
aéronef,aeRonEf
aéroplane,aeRoplan
aéroplanes,aeRoplan
aéroport,aeRopoR
aéroports,aeRopoR
aérosol,aeRosol
aérosols,aeRosol
affable,afabl*
affaibli,afebli
affaibli,afebli
affaiblie,afebli
affaiblie,afebli
affaiblir,afebliR
affaiblis,afebli
affaiblit,afebli
affairaient,afERE
affairait,afERE
affaire,afER
affaire,afER
affairé,afeRe
affairé,afeRe
affairées,afeRe
affairent,afER
affairer,afeRe
affaires,afER
affairés,afeRe
affairés,afeRe
affaissa,afEsa
affaisse,afEs
affaissée,afese
affaissent,afEs
affaissèrent,afEsER
affalait,afalE
affalé,afale
affalée,afale
affaler,afale
affame,afam
affamé,afame
affamé,afame
affamée,afame
affamée,afame
affamée,afame
affamées,afame
affamés,afame
affamés,afame
affectation,afEktasj%
affecté,afEkte
affecté,afEkte
affectée,afEkte
affection,afEksj%
affectionne,afEksjon
affectionner,afEksjone
affectueuse,afEkt82z
affectueusement,afEkt82zm@
affectueuses,afEkt82z
affectueux,afEkt82
affermie,afERmi
afféteries,afetRi
afficha,afiSa
affichage,afiSaZ
affichais,afiSE
affichait,afiSE
affiche,afiS
affiche,afiS
affiché,afiSe
affichée,afiSe
affichent,afiS
afficher,afiSe
affiches,afiS
affiches,afiS
affichette,afiSEt
afficheur,afiS9R
affilé,afile
affilée,afile
affinage,afinaZ
affiner,afine
affinera,afinRa
affinité,afinite
affirma,afiRma
affirmai,afiRmE
affirmait,afiRmE
affirmant,afiRm@
affirmatif,afiRmatif
affirmation,afiRmasj%
affirmations,afiRmasj%
affirmative,afiRmativ
affirmative,afiRmativ
affirmativement,afiRmativm@
affirmatives,afiRmativ
affirme,afiRm*
affirmé,afiRme
affirment,afiRm*
affirmer,afiRme
affirmèrent,afiRmER
affirmes,afiRm*
affleure,afl9R
afflige,afliZ
affligé,afliZe
affligé,afliZe
affligea,afliZa
affligée,afliZe
affligées,afliZe
affligez,afliZe
affluence,afly@s
affluent,afly@
affluent,afly
affluer,aflye
afflux,afly
affola,afola
affolaient,afolE
affolait,afolE
affolant,afol@
affole,afol
affolé,afole
affolé,afole
affolée,afole
affolée,afole
affolées,afole
affolées,afole
affolement,afolm@
affolent,afol
affoler,afole
affolés,afole
affolés,afole
affolez,afole
affranchi,afR@Si
affranchie,afR@Si
affranchir,afR@SiR
affranchissement,afR@Sism@
affranchit,afR@Si
affreuse,afR2z
affreusement,afR2zm@
affreuses,afR2z
affreux,afR2
affreux,afR2
affriandée,afRi@de
affront,afR%
affronta,afR%ta
affrontant,afR%t@
affronte,afR%t
affronté,afR%te
affrontement,afR%tm@
affrontent,afR%t
affronter,afR%te
affublé,afyble
affublé,afyble
affût,afy
affûte,afyt
affûté,afyte
afghan,afg@
afghans,afg@
afin,af5
africain,afRik5
africain,afRik5
africaine,afRikEn
africaine,afRikEn
africaines,afRikEn
africains,afRik5
africains,afRik5
afrique,afRik
agaçait,agasE
agaçant,agas@
agaçante,agas@t
agaçants,agas@
agace,agas
agace,agas
agacé,agase
agacée,agase
agacement,agasm@
agacent,agas
agacer,agase
agaces,agas
agacez,agase
agate,agat
agates,agat
agathe,agat
agave,agav
âge,AZ
âgé,AZe
âgée,AZe
âgées,AZe
agen,aZ5
agence,aZ@s
agences,aZ@s
agenda,aZ5da
agenouilla,aZnuja
agenouille,aZnuj
agenouillé,aZnuje
agenouillée,aZnuje
agenouillée,aZnuje
agenouillèrent,aZnujER
agent,aZ@
agents,aZ@
âges,AZ
âgés,AZe
agglomération,aglomeRasj%
agglomérations,aglomeRasj%
agglomérées,aglomeRe
agglomèrent,aglomER
agglomérer,aglomeRe
agglutinante,aglytin@t
agglutiner,aglytine
aggravait,agRavE
aggravation,agRavasj%
aggrave,agRav
aggravé,agRave
aggravent,agRav
aggraver,agRave
agi,aZi
agile,aZil
agilement,aZilm@
agiles,aZil
agilité,aZilite
agir,aZiR
agira,aZiRa
agiront,aZiR%
agis,aZi
agissaient,aZisE
agissait,aZisE
agissant,aZis@
agisse,aZis
agissent,aZis
agissez,aZise
agissons,aZis%
agit,aZi
agita,aZita
agitai,aZitE
agitaient,aZitE
agitait,aZitE
agitant,aZit@
agitation,aZitasj%
agitations,aZitasj%
agite,aZit
agité,aZite
agité,aZite
agité,aZite
agitée,aZite
agitée,aZite
agitées,aZite
agitées,aZite
agitent,aZit
agiter,aZite
agiterai,aZitRE
agitèrent,aZitER
agités,aZite
agités,aZite
agitions,aZitj%
agitons,aZit%
aglaé,aglae
agnan,aN@
agneau,aNO
agneaux,aNO
agnelets,aN*lE
agnelles,aNEl
agnès,aNEs
agonie,agoni
agonir,agoniR
agonisait,agonizE
agonisant,agoniz@
agonisante,agoniz@t
agoniser,agonize
agrafe,agRaf
agrafe,agRaf
agrafées,agRafe
agrafer,agRafe
agrafes,agRaf
agrafeuse,agRaf2z
agrafez,agRafe
agrandi,agR@di
agrandie,agR@di
agrandir,agR@diR
agrandirait,agR@diRE
agrandis,agR@di
agrandissement,agR@dism@
agrandit,agR@di
agréable,agReabl*
agréablement,agReabl*m@
agréables,agReabl*
agréé,agRee
agréer,agRee
agréés,agRee
agrément,agRem@
agrémentée,agRem@te
agrémenter,agRem@te
agrès,agRE
agressent,agREs
agresseur,agREs9R
agresseurs,agREs9R
agressif,agREsif
agressifs,agREsif
agressive,agREsiv
agressives,agREsiv
agressivité,agREsivite
agricole,agRikol
agricoles,agRikol
agriculteur,agRikylt9R
agriculteurs,agRikylt9R
agriculture,agRikyltyR
agrippa,agRipa
agrippai,agRipE
agrippait,agRipE
agrippant,agRip@
agrippe,agRip
agrippé,agRipe
agrippée,agRipe
agrippées,agRipe
agripper,agRipe
agrippèrent,agRipER
agrippés,agRipe
agrippeuse,agRip2z
agrippions,agRipj%
agronome,agRonom
agronomes,agRonom
agronomiques,agRonomik
agrume,agRym
agrumes,agRym
ahmed,amEd
ahuri,ayRi
ahuri,ayRi
ahuri,ayRi
ahurie,ayRi
ahuris,ayRi
ahuris,ayRi
ahuris,ayRi
ahurissants,ayRis@
ai,e
aïcha,ajSa
aida,Eda
aidai,EdE
aidaient,EdE
aidait,EdE
aidant,Ed@
aide,Ed
aide,Ed
aidé,ede
aidée,ede
aident,Ed
aider,ede
aidera,EdRa
aiderai,EdRE
aiderais,EdRE
aiderait,EdRE
aideras,EdRa
aidèrent,EdER
aiderez,EdRe
aideront,EdR%
aides,Ed
aides,Ed
aidés,ede
aidez,ede
aidiez,Edje
aidions,Edj%
aie,E
aient,E
aies,E
aïeul,aj9l
aïeule,aj9l
aïeux,aj2
aigle,Egl*
aigles,Egl*
aiglon,Egl%
aigre,EgR*
aigrefin,EgR*f5
aigres,EgR*
aigrette,EgREt
aigrette,EgREt
aigrettes,EgREt
aigreur,EgR9R
aigris,egRi
aigu,egy
aigu,egy
aiguë,egy
aiguës,egy
aiguillage,eg8ijaZ
aiguillages,eg8ijaZ
aiguille,eg8ij
aiguille,eg8ij
aiguillée,eg8ije
aiguiller,eg8ije
aiguillerie,eg8ijRi
aiguilles,eg8ij
aiguilles,eg8ij
aiguilleter,eg8ijte
aiguilleur,eg8ij9R
aiguillon,eg8ij%
aiguise,egiz
aiguisées,egize
aiguisent,egiz
aiguiser,egize
aigus,egy
ail,aj
aile,El
ailé,ele
aileron,ElR%
ailerons,ElR%
ailes,El
ailés,ele
ailette,ElEt
ailettes,ElEt
ailier,elje
aille,aj
aillent,aj
ailles,aj
ailleurs,aj9R
aima,Ema
aimable,Emabl*
aimablement,Emabl*m@
aimables,Emabl*
aimaient,EmE
aimais,EmE
aimait,EmE
aimant,Em@
aimant,Em@
aimant,em@
aimantation,Em@tasj%
aimante,Em@t
aimantée,Em@te
aimants,Em@
aimants,Em@
aime,Em
aimé,eme
aimé,eme
aimée,eme
aimée,eme
aimée,eme
aiment,Em
aimer,eme
aimerai,EmRE
aimeraient,EmRE
aimerais,EmRE
aimerait,EmRE
aimeras,EmRa
aimèrent,EmER
aimeriez,Em*Rje
aimerions,Em*Rj%
aimerons,EmR%
aimeront,EmR%
aimes,Em
aimés,eme
aimés,eme
aimez,eme
aimiez,Emje
aimons,Em%
aîné,ene
aîné,ene
aînée,ene
aînée,ene
aînés,ene
aînés,ene
aînesse,EnEs
ainsi,5si
air,ER
airain,ER5
airbus,ERbys
aire,ER
airelles,EREl
aires,ER
airs,ER
aisance,Ez@s
aise,Ez
aise,Ez
aisé,eze
aisée,eze
aisées,eze
aisément,ezem@
aises,Ez
aisselle,EsEl
aisselles,EsEl
ait,e
aix,Eks
ajaccio,aZaksiO
ajoncs,aZ%
ajouré,aZuRe
ajourée,aZuRe
ajourés,aZuRe
ajournées,aZuRne
ajourner,aZuRne
ajouta,aZuta
ajoutai,aZutE
ajoutaient,aZutE
ajoutait,aZutE
ajoutant,aZut@
ajoute,aZut
ajouté,aZute
ajouté,aZute
ajoutée,aZute
ajoutées,aZute
ajoutent,aZut
ajouter,aZute
ajoutera,aZutRa
ajouterai,aZutRE
ajouteras,aZutRa
ajoutèrent,aZutER
ajoutes,aZut
ajoutés,aZute
ajoutez,aZute
ajoutons,aZut%
ajusta,aZysta
ajustant,aZyst@
ajuste,aZyst*
ajusté,aZyste
ajusté,aZyste
ajustée,aZyste
ajustée,aZyste
ajuster,aZyste
ajusteur,aZyst9R
ajustez,aZyste
alain,al5
alarme,alaRm*
alarmé,alaRme
alarmer,alaRme
alarmes,alaRm*
alarmés,alaRme
alaska,alaska
alban,alb@
albâtre,albAtR*
albatros,albatROs
albert,albER
albinos,albinOs
albinos,albinOs
album,albom
albums,albom
alcalines,alkalin
alceste,alsEst*
alchimiste,alSimist*
alcool,alkol
alcoolisé,alkolize
alcoolisée,alkolize
alcoolisées,alkolize
alcoolisme,alkolism*
alcôve,alkOv
aldrin,aldRin
alémanique,alemanik
alémanique,alemanik
alêne,alEn
alênes,alEn
alentour,al@tuR
alentours,al@tuR
alerta,alERta
alerte,alERt*
alerte,alERt*
alerte,alERt*
alerté,alERte
alerté,alERte
alertée,alERte
alerter,alERte
alertes,alERt*
alertés,alERte
alertés,alERte
alésia,alezia
alevins,alv5
alex,alEks
alexandre,alEks@dR*
alexandrins,alEks@dR5
alexis,alEksi
alezans,alz@
alfred,alfREd
algèbre,alZEbR*
alger,alZe
algérie,alZeRi
algérien,alZeRj5
algériennes,alZeRjEn
algériens,alZeRj5
algériens,alZeRj5
algonquin,alg%k5
algue,alg*
algues,alg*
ali,ali
alias,aljas
alibi,alibi
alice,alis
aligna,aliNa
alignai,aliNE
alignaient,aliNE
aligne,aliN
alignée,aliNe
alignées,aliNe
alignées,aliNe
alignement,aliNm@
alignements,aliNm@
alignent,aliN
aligner,aliNe
alignèrent,aliNER
alignés,aliNe
alignés,aliNe
alignez,aliNe
aliment,alim@
alimentaire,alim@tER
alimentaires,alim@tER
alimentait,alim@tE
