ORTHO,PHON
abstrato,abistɾatu
abstratos,abistɾatus
absurda,abisuɾda
absurdo,abisuɾdu
abundância,abũdɐ̃sja
abundante,abũdɐ̃tʃi
abundantes,abũdɐ̃tʃis
abusa,abuza
abusar,abuzaɾ
abuso,abuzu
abusos,abuzus
abutres,abutɾis
acaba,akaba
acabada,akabada
acabado,akabadu
acabam,akabɐ̃w
acabamento,akabamẽtu
acabamentos,akabamẽtus
acabamos,akabɐmus
acabando,akabɐ̃du
acabar,akabaɾ
acabara,akabaɾa
acabará,akabaɾa
acabaram,akabaɾɐ̃w
acabarão,akabaɾɐ̃w
acabarei,akabaɾej
acabaria,akabaɾia
acabasse,akabasi
acabava,akabava
acabavam,akabavɐ̃w
acabe,akabi
acabei,akabej
acabem,akabẽ
acabo,akabu
acabou,akabo
acácias,akasjas
academia,akademia
açafrão,asafɾɐ̃w
açaí,asai
acalanto,akalɐ̃tu
acalmá-los,akawmalus
acalmado,akawmadu
acalmam,akawmɐ̃w
acalmando,akawmɐ̃du
acalmar,akawmaɾ
acalmaram,akawmaɾɐ̃w
acalmou,akawmo
acampa,akɐ̃pa
acampada,akɐ̃pada
acampamento,akɐ̃pamẽtu
acampamentos,akɐ̃pamẽtus
acampar,akɐ̃paɾ
acampavam,akɐ̃pavɐ̃w
acampou,akɐ̃po
acanhada,akɐɲada
acanhado,akɐɲadu
acanhados,akɐɲadus
acanhamento,akɐɲamẽtu
acanhar,akɐɲaɾ
ação,asɐ̃w
acaraí,akaɾai
acarajé,akaɾaʒɛ
acaricia,akaɾisia
acariciá-la,akaɾisiala
acariciado,akaɾisiadu
acariciando,akaɾisiɐ̃du
acariciar,akaɾisiaɾ
acariciarei,akaɾisiaɾej
acariciavam,akaɾisiavɐ̃w
acariciou,akaɾisio
acarinha,akaɾiɲa
acarinhou,akaɾiɲo
acarretam,akahɛtɐ̃w
acasale,akazali
acaso,akazu
acastanhada,akastɐɲada
acautelado,akawteladu
acautelar,akawtelaɾ
aceado,aseadu
aceita,asejta
aceitação,asejtasɐ̃w
aceitai,asejtaj
aceitam,asejtɐ̃w
aceitando,asejtɐ̃du
aceitar,asejtaɾ
aceitará,asejtaɾa
aceitaram,asejtaɾɐ̃w
aceitaremos,asejtaɾemus
aceitaria,asejtaɾia
aceitas,asejtas
aceitasse,asejtasi
aceitava,asejtava
aceitavam,asejtavɐ̃w
aceite,asejtʃi
aceito,asejtu
aceitou,asejto
acelera,aselɛɾa
acelerada,aseleɾada
acelerado,aseleɾadu
aceleram,aselɛɾɐ̃w
acelerando,aseleɾɐ̃du
acelerar,aseleɾaɾ
acelerava,aseleɾava
acelerou,aseleɾo
acém,asẽ
acenando,asenɐ̃du
acenar,asenaɾ
acenava,asenava
acenavam,asenavɐ̃w
acenda,asẽda
acende,asẽdʒi
acendem,asẽdẽ
acendemos,asẽdemus
acendendo,asẽdẽdu
acender,asẽdeɾ
acenderam,asẽdeɾɐ̃w
acenderei,asẽdeɾej
acenderia,asẽdeɾia
acendesse,asẽdesi
acendeu,asẽdew
acendia,asẽdʒia
acendiam,asẽdʒiɐ̃w
acendido,asẽdʒidu
aceno,asenu
acenos,asenus
acenou,aseno
acento,asẽtu
acentos,asẽtus
acentuação,asẽtuasɐ̃w
acentuada,asẽtuada
acentuadamente,asẽtuadamẽtʃi
acentuadas,asẽtuadas
acentuado,asẽtuadu
acentuados,asẽtuadus
acentuam,asẽtuɐ̃w
acentuando,asẽtuɐ̃du
acentuar,asẽtuaɾ
acentuava,asẽtuava
acentue,asẽtui
acentuou,asẽtuo
acepção,asepisɐ̃w
acepções,asepisõjs
acerca,aseɾka
acercaram,aseɾkaɾɐ̃w
acerta,asɛɾta
acertado,aseɾtadu
acertador,aseɾtadoɾ
acertamos,aseɾtɐmus
acertando,aseɾtɐ̃du
acertar,aseɾtaɾ
acertaram,aseɾtaɾɐ̃w
acertasse,aseɾtasi
acertava,aseɾtava
acerte,asɛɾtʃi
acertei,aseɾtej
acerto,aseɾtu
acertos,aseɾtus
acertou,aseɾto
acesa,aseza
acesas,asezas
acesita,asezita
aceso,asezu
acesos,asezus
acesso,asɛsu
acessórios,asesɔɾjus
acetinado,asetʃinadu
acetona,asetona
acha,aʃa
achá-la,aʃala
achá-lo,aʃalu
achadas,aʃadas
achado,aʃadu
achados,aʃadus
acham,aʃɐ̃w
achamos,aʃɐmus
achando,aʃɐ̃du
achar,aʃaɾ
achara,aʃaɾa
acharam,aʃaɾɐ̃w
acharem,aʃaɾẽ
achares,aʃaɾis
acharia,aʃaɾia
acharmos,aʃaɾmus
achas,aʃas
achasse,aʃasi
achassem,aʃasẽ
achatada,aʃatada
achatado,aʃatadu
achatados,aʃatadus
achatando,aʃatɐ̃du
achatar,aʃataɾ
achatou,aʃato
achava,aʃava
achavam,aʃavɐ̃w
ache,aʃi
achegar,aʃegaɾ
achei,aʃej
achem,aʃẽ
acho,aʃu
achou,aʃo
ácidas,asidas
acidentada,asidẽtada
acidentadas,asidẽtadas
acidentado,asidẽtadu
acidentados,asidẽtadus
acidentalmente,asidẽtawmẽtʃi
acidente,asidẽtʃi
acidentes,asidẽtʃis
acidez,asides
ácido,asidu
acileía,asileia
acima,asima
acinzentada,asĩzẽtada
acinzentado,asĩzẽtadu
aciona,asiona
acionado,asionadu
acionar,asionaɾ
acionou,asiono
aclama,aklɐma
aclamação,aklamasɐ̃w
aclamada,aklamada
aclamado,aklamadu
aclamar,aklamaɾ
aclamaram,aklamaɾɐ̃w
aclamava,aklamava
aclarado,aklaɾadu
aclimatação,aklimatasɐ̃w
aclive,aklivi
aclives,aklivis
acne,akini
aço,asu
acocorado,akokoɾadu
acocorar,akokoɾaɾ
acocorou,akokoɾo
acode,akɔdʒi
acodem,akɔdẽ
ações,asõjs
açoita,asojta
açoitados,asojtadus
açoitar,asojtaɾ
açoite,asojtʃi
açoites,asojtʃis
acolá,akola
acolchoado,akowʃoadu
acolhedora,akoʎedoɾa
acolhedores,akoʎedoɾis
acolher,akoʎeɾ
acolhesse,akoʎesi
acolheu,akoʎew
acolhia,akoʎia
acolhiam,akoʎiɐ̃w
acolhida,akoʎida
acolhimento,akoʎimẽtu
açominas,asominas
acomodá-la,akomodala
acomodá-lo,akomodalu
acomodação,akomodasɐ̃w
acomodada,akomodada
acomodando,akomodɐ̃du
acomodar,akomodaɾ
acomodaram,akomodaɾɐ̃w
acomodava,akomodava
acomodavam,akomodavɐ̃w
acomodou,akomodo
acompanha,akõpɐɲa
acompanhá-la,akõpɐɲala
acompanhá-lo,akõpɐɲalu
acompanhá-los,akõpɐɲalus
acompanhada,akõpɐɲada
acompanhadas,akõpɐɲadas
acompanhado,akõpɐɲadu
acompanhados,akõpɐɲadus
acompanham,akõpɐɲɐ̃w
acompanhamento,akõpɐɲamẽtu
acompanhamos,akõpɐɲɐmus
acompanhando,akõpɐɲɐ̃du
acompanhante,akõpɐɲɐ̃tʃi
acompanhantes,akõpɐɲɐ̃tʃis
acompanhar,akõpɐɲaɾ
acompanharam,akõpɐɲaɾɐ̃w
acompanharão,akõpɐɲaɾɐ̃w
acompanharia,akõpɐɲaɾia
acompanhasse,akõpɐɲasi
acompanhassem,akõpɐɲasẽ
acompanhava,akõpɐɲava
acompanhavam,akõpɐɲavɐ̃w
acompanhe,akõpɐɲi
acompanhem,akõpɐɲẽ
acompanho,akõpɐɲu
acompanhou,akõpɐɲo
aconcágua,akõkagwa
aconchegada,akõʃegada
aconchegante,akõʃegɐ̃tʃi
acondicionar,akõdʒisionaɾ
aconselhá-la,akõseʎala
aconselhada,akõseʎada
aconselhado,akõseʎadu
aconselhamento,akõseʎamẽtu
aconselhar,akõseʎaɾ
aconselhara,akõseʎaɾa
aconselharam,akõseʎaɾɐ̃w
aconselharia,akõseʎaɾia
aconselhavam,akõseʎavɐ̃w
aconselhável,akõseʎaviw
aconselhou,akõseʎo
aconteça,akõtesa
aconteçam,akõtesɐ̃w
acontece,akõtɛsi
acontecem,akõtɛsẽ
acontecendo,akõtesẽdu
acontecer,akõteseɾ
acontecera,akõteseɾa
acontecerá,akõteseɾa
aconteceram,akõteseɾɐ̃w
acontecerão,akõteseɾɐ̃w
aconteceria,akõteseɾia
acontecesse,akõtesesi
aconteceu,akõtesew
acontecia,akõtesia
aconteciam,akõtesiɐ̃w
acontecida,akõtesida
acontecido,akõtesidu
acontecidos,akõtesidus
acontecimento,akõtesimẽtu
acontecimentos,akõtesimẽtus
acorda,akɔɾda
acordá-lo,akoɾdalu
acordada,akoɾdada
acordadas,akoɾdadas
acordado,akoɾdadu
acordados,akoɾdadus
acordai,akoɾdaj
acordam,akɔɾdɐ̃w
acordamos,akoɾdɐmus
acordando,akoɾdɐ̃du
acordar,akoɾdaɾ
acordara,akoɾdaɾa
acordará,akoɾdaɾa
acordaram,akoɾdaɾɐ̃w
acordarão,akoɾdaɾɐ̃w
acordares,akoɾdaɾis
acordaria,akoɾdaɾia
acordas,akɔɾdas
acordasse,akoɾdasi
acordava,akoɾdava
acordavam,akoɾdavɐ̃w
acorde,akɔɾdʒi
acordeão,akoɾdeɐ̃w
acordei,akoɾdej
acordes,akɔɾdʒis
acordo,akoɾdu
acordos,akoɾdus
acordou,akoɾdo
açores,asoɾis
açorianos,asoɾiɐnus
acorrentado,akohẽtadu
acorrentados,akohẽtadus
acorrer,akoheɾ
aços,asus
acostamento,akostamẽtu
acostuma,akostuma
acostumada,akostumada
acostumadas,akostumadas
acostumado,akostumadu
acostumados,akostumadus
acostumando,akostumɐ̃du
acostumar,akostumaɾ
acostumaram,akostumaɾɐ̃w
acostumarem,akostumaɾẽ
acostumavam,akostumavɐ̃w
acostumei,akostumej
acostumou,akostumo
açougue,asogi
açougueiro,asowgeɾu
açougueiros,asowgeɾus
açougues,asogis
acovardou,akovaɾdo
acre,akɾi
acreana,akɾeɐna
acreano,akɾeɐnu
acreanos,akɾeɐnus
acredita,akɾedʒita
acreditado,akɾedʒitadu
acreditai,akɾedʒitaj
acreditam,akɾedʒitɐ̃w
acreditamos,akɾedʒitɐmus
acreditando,akɾedʒitɐ̃du
acreditar,akɾedʒitaɾ
acreditará,akɾedʒitaɾa
acreditaram,akɾedʒitaɾɐ̃w
acreditaria,akɾedʒitaɾia
acreditasse,akɾedʒitasi
acreditassem,akɾedʒitasẽ
acreditava,akɾedʒitava
acreditavam,akɾedʒitavɐ̃w
acredite,akɾedʒitʃi
acreditem,akɾedʒitẽ
acredito,akɾedʒitu
acreditou,akɾedʒito
acres,akɾis
acrescenta,akɾessẽta
acrescentada,akɾesẽtada
acrescentadas,akɾesẽtadas
acrescentado,akɾesẽtadu
acrescentados,akɾesẽtadus
acrescentam,akɾesẽtɐ̃w
acrescentamos,akɾesẽtɐmus
acrescentando,akɾesẽtɐ̃du
acrescentar,akɾesẽtaɾ
acrescentarmos,akɾesẽtaɾmus
acrescentas,akɾesẽtas
acrescentava,akɾessẽtava
acrescente,akɾesẽtʃi
acrescentou,akɾesẽto
acrescer,akɾeseɾ
acrescido,akɾesidu
acréscimo,akɾɛsimu
acréscimos,akɾɛsimus
acroá,akɾoa
acrobacia,akɾobasia
acrobacias,akɾobasias
acrobata,akɾobata
actínia,akitʃinja
açu,asu
acuados,akuadus
açúcar,asukaɾ
açucarada,asukaɾada
açucarado,asukaɾadu
açucareira,asukaɾeɾa
açucareiras,asukaɾeɾas
açucareiro,asukaɾeɾu
açúcares,asukaɾis
açucena,asusena
acuda,akuda
acudam,akudɐ̃w
açude,asudʒi
açudes,asudʒis
acudia,akudʒia
acudindo,akudʒĩdu
acudir,akudʒiɾ
acudiram,akudʒiɾɐ̃w
acudirão,akudʒiɾɐ̃w
acudiu,akudʒiw
acudo,akudu
acúleos,akuljus
acumula,akumula
acumulada,akumulada
acumulam,akumulɐ̃w
acumulando,akumulɐ̃du
acumular,akumulaɾ
acumularam,akumulaɾɐ̃w
acúmulo,akumulu
acumulou,akumulo
acusa,akuza
acusação,akuzasɐ̃w
acusado,akuzadu
acusados,akuzadus
acusando,akuzɐ̃du
acusar,akuzaɾ
acusaram,akuzaɾɐ̃w
acusava,akuzava
acusavam,akuzavɐ̃w
acusou,akuzo
ada,ada
adaga,adaga
adair,adaiɾ
adalberto,adawbɛɾtu
adália,adalja
adaptação,adapitasɐ̃w
adaptações,adapitasõjs
adaptada,adapitada
adaptado,adapitadu
adaptados,adapitadus
adaptam,adapitɐ̃w
adaptando,adapitɐ̃du
adaptar,adapitaɾ
adaptaram,adapitaɾɐ̃w
adaptarmos,adapitaɾmus
adapte,adapitʃi
adaptem,adapitẽ
adaptou,adapito
adega,adɛga
adelaide,adelajdʒi
adélia,adɛlja
ademar,ademaɾ
adendos,adẽdus
adentro,adẽtɾu
adeptos,adɛpitus
adequação,adekwasɐ̃w
adequada,adekwada
adequadamente,adekwadamẽtʃi
adequadas,adekwadas
adequado,adekwadu
adequados,adekwadus
adereço,adeɾesu
aderiram,adeɾiɾɐ̃w
aderiu,adeɾiw
adesão,adezɐ̃w
adesiva,adeziva
adesivo,adezivu
adesivos,adezivus
adesões,adezõjs
adestrado,adestɾadu
adeus,adews
adeusinhos,adewziɲus
adiada,adʒiada
adiadas,adʒiadas
adiamento,adʒiamẽtu
adianta,adʒiɐ̃ta
adiantada,adʒiɐ̃tada
adiantado,adʒiɐ̃tadu
adiantados,adʒiɐ̃tadus
adiantamento,adʒiɐ̃tamẽtu
adiantando,adʒiɐ̃tɐ̃du
adiantar,adʒiɐ̃taɾ
adiantava,adʒiɐ̃tava
adiante,adʒiɐ̃tʃi
adiantou,adʒiɐ̃to
adiar,adʒiaɾ
adição,adʒisɐ̃w
adiciona,adʒisiona
adicioná-lo,adʒisionalu
adicioná-los,adʒisionalus
adicionado,adʒisionadu
adicionados,adʒisionadus
adicionam,adʒisionɐ̃w
adicionamos,adʒisionɐmus
adicionando,adʒisionɐ̃du
adicionar,adʒisionaɾ
adicionarmos,adʒisionaɾmus
adicione,adʒisioni
adicionei,adʒisionej
adiciono,adʒisionu
adicionou,adʒisiono
adições,adʒisõjs
adilson,adʒiwsõ
adílson,adʒiwsõ
aditiva,adʒitʃiva
aditivas,adʒitʃivas
aditivo,adʒitʃivu
adivinha,adʒiviɲa
adivinhação,adʒiviɲasɐ̃w
adivinhações,adʒiviɲasõjs
adivinhado,adʒiviɲadu
adivinhamos,adʒiviɲɐmus
adivinhando,adʒiviɲɐ̃du
adivinhar,adʒiviɲaɾ
adivinharam,adʒiviɲaɾɐ̃w
adivinhas,adʒiviɲas
adivinhava,adʒiviɲava
adivinhavam,adʒiviɲavɐ̃w
adivinhe,adʒiviɲi
adivinhei,adʒiviɲej
adivinhem,adʒiviɲẽ
adivinho,adʒiviɲu
adivinhou,adʒiviɲo
adjacente,adʒiʒasẽtʃi
adjetiva,adʒiʒetʃiva
adjetivas,adʒiʒetʃivas
adjetivo,adʒiʒetʃivu
adjetivos,adʒiʒetʃivus
adjunto,adʒiʒũtu
adjuntos,adʒiʒũtus
adjutório,adʒiʒutɔɾju
administra,adʒiministɾa
administração,adʒiministɾasɐ̃w
administrada,adʒiministɾada
administradas,adʒiministɾadas
administrado,adʒiministɾadu
administrador,adʒiministɾadoɾ
administradores,adʒiministɾadoɾis
administram,adʒiministɾɐ̃w
administrar,adʒiministɾaɾ
administraram,adʒiministɾaɾɐ̃w
administrativa,adʒiministɾatʃiva
administrativas,adʒiministɾatʃivas
administrativo,adʒiministɾatʃivu
administrativos,adʒiministɾatʃivus
administrava,adʒiministɾava
administre,adʒiministɾi
administrou,adʒiministɾo
admira,adʒimiɾa
admirá-los,adʒimiɾalus
admiração,adʒimiɾasɐ̃w
admirada,adʒimiɾada
admiradas,adʒimiɾadas
admiradíssima,adʒimiɾadʒisima
admiradíssimos,adʒimiɾadʒisimus
admirado,adʒimiɾadu
admirador,adʒimiɾadoɾ
admiradora,adʒimiɾadoɾa
admiradoras,adʒimiɾadoɾas
admiradores,adʒimiɾadoɾis
admirados,adʒimiɾadus
admirais,adʒimiɾajs
admiram,adʒimiɾɐ̃w
admiramos,adʒimiɾɐmus
admirando,adʒimiɾɐ̃du
admirar,adʒimiɾaɾ
admirara,adʒimiɾaɾa
admiraram,adʒimiɾaɾɐ̃w
admiras,adʒimiɾas
admirava,adʒimiɾava
admiravam,adʒimiɾavɐ̃w
admirável,adʒimiɾaviw
admiro,adʒimiɾu
admirou,adʒimiɾo
admissão,adʒimisɐ̃w
admite,adʒimitʃi
admitem,adʒimitẽ
admitia,adʒimitʃia
admitiam,adʒimitʃiɐ̃w
admitida,adʒimitʃida
admitido,adʒimitʃidu
admitir,adʒimitʃiɾ
admito,adʒimitu
admoestar,adʒimoestaɾ
adnominais,adʒinominajs
adnominal,adʒinominaw
adoçada,adosada
adoção,adosɐ̃w
adoçar,adosaɾ
adocicado,adosikadu
adoece,adoɛsi
adoecem,adoɛsẽ
adoeceu,adoesew
adoecia,adoesia
adoidado,adojdadu
adolescência,adolesẽsja
adolescente,adolesẽtʃi
adolescentes,adolesẽtʃis
adolfo,adowfu
adora,adɔɾa
adoração,adoɾasɐ̃w
adorada,adoɾada
adorado,adoɾadu
adoram,adɔɾɐ̃w
adoramos,adoɾɐmus
adorando,adoɾɐ̃du
adorar,adoɾaɾ
adoraram,adoɾaɾɐ̃w
adorava,adoɾava
adoravam,adoɾavɐ̃w
adorei,adoɾej
adorem,adɔɾẽ
adormece,adoɾmɛsi
adormecem,adoɾmɛsẽ
adormecendo,adoɾmesẽdu
adormecer,adoɾmeseɾ
adormeceram,adoɾmeseɾɐ̃w
adormecerei,adoɾmeseɾej
adormeceu,adoɾmesew
adormeci,adoɾmesi
adormecia,adoɾmesia
adormeciam,adoɾmesiɐ̃w
adormecida,adoɾmesida
adormecidas,adoɾmesidas
adormecido,adoɾmesidu
adormecidos,adoɾmesidus
adormecimento,adoɾmesimẽtu
adornada,adoɾnada
adornam,adɔɾnɐ̃w
adornando,adoɾnɐ̃du
adornar,adoɾnaɾ
adorno,adoɾnu
adornos,adoɾnus
adoro,adɔɾu
adorou,adoɾo
adotá-lo,adotalu
adotada,adotada
adotadas,adotadas
adotado,adotadu
adotando,adotɐ̃du
adotar,adotaɾ
adotaram,adotaɾɐ̃w
adotaria,adotaɾia
adote,adɔtʃi
adotou,adoto
adquira,adʒikiɾa
adquire,adʒikiɾi
adquirem,adʒikiɾẽ
adquirida,adʒikiɾida
adquiridas,adʒikiɾidas
adquirido,adʒikiɾidu
adquiridos,adʒikiɾidus
adquirimos,adʒikiɾimus
adquirindo,adʒikiɾĩdu
adquirir,adʒikiɾiɾ
adquiriu,adʒikiɾiw
adriana,adɾiɐna
adriano,adɾiɐnu
adrião,adɾiɐ̃w
adro,adɾu
adubá-lo,adubalu
adubação,adubasɐ̃w
adubada,adubada
adubadas,adubadas
adubado,adubadu
adubar,adubaɾ
adubo,adubu
adubos,adubus
adula,adula
adulta,aduwta
adultas,aduwtas
adulto,aduwtu
adultos,aduwtus
aduncos,adũkus
advento,adʒivẽtu
adverbiais,adʒiveɾbiajs
adverbial,adʒiveɾbiaw
advérbio,adʒivɛɾbju
advérbios,adʒivɛɾbjus
adversa,adʒivɛɾsa
adversário,adʒiveɾsaɾju
adversários,adʒiveɾsaɾjus
advertem,adʒivɛɾtẽ
advertência,adʒiveɾtẽsja
advertências,adʒiveɾtẽsjas
advertir,adʒiveɾtʃiɾ
advertiu,adʒiveɾtʃiw
advindos,adʒivĩdus
advinha,adʒiviɲa
advinhações,adʒiviɲasõjs
advinhar,adʒiviɲaɾ
advinhe,adʒiviɲi
advir,adʒiviɾ
advocacia,adʒivokasia
advogado,adʒivogadu
advogados,adʒivogadus
aécio,aɛsju
aegria,aegɾia
aeração,aeɾasɐ̃w
aérea,aɛɾja
aéreas,aɛɾjas
aéreo,aɛɾju
aéreos,aɛɾjus
aeronauta,aeɾonawta
aeronáutica,aeɾonawtʃika
aeronáutico,aeɾonawtʃiku
aeronave,aeɾonavi
aeronaves,aeɾonavis
aeroplano,aeɾoplɐnu
aeroplanos,aeɾoplɐnus
aeroporto,aeɾopoɾtu
aeroportos,aeɾopɔɾtus
aerovia,aeɾovia
aerovias,aeɾovias
afã,afɐ̃
afaga,afaga
afagando,afagɐ̃du
afagar,afagaɾ
afagavam,afagavɐ̃w
afago,afagu
afamado,afamadu
afasta,afasta
afastá-la,afastala
afastá-las,afastalas
afastada,afastada
afastadas,afastadas
afastado,afastadu
afastados,afastadus
afastai,afastaj
afastam,afastɐ̃w
afastamento,afastamẽtu
